Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.64590071	30.22819901	1	1
0.645912275	30.281847	1	1
0.645923851	30.20415115	1	1
0.645935435	30.17963409	1	1
0.645947006	30.22139168	1	1
0.645958564	30.0983429	1	1
0.645970146	30.057724	1	1
0.645981723	29.92643738	1	1
0.645993303	29.75823784	1	1
0.646004866	29.74227715	1	1
0.646016455	29.69809914	1	1
0.646028025	29.25558472	1	1
0.646039599	29.16740799	1	1
0.646051158	29.14536667	1	1
0.646062741	29.16221428	1	1
0.646074317	28.94404984	1	1
0.646085878	28.98605919	1	1
0.646097465	28.64487267	1	1
0.646109033	28.60370255	1	1
0.646120601	28.54364967	1	1
0.64613219	28.65471077	1	1
0.646143764	28.92870712	1	1
0.646155326	28.86414528	1	1
0.646166912	28.61380768	1	1
0.646178477	28.72707367	1	1
0.64619006	28.64898109	1	1
0.646201616	28.5028038	1	1
0.646213196	28.36945152	1	1
0.646224776	28.49383545	1	1
0.646236355	28.56373596	1	1
0.646247924	28.33587265	1	1
0.646259503	28.0816288	1	1
0.646271069	28.00844765	1	1
0.646282645	28.10060883	1	1
0.646294215	27.86810112	1	1
0.646305782	27.98288345	1	1
0.646317375	27.94597626	1	1
0.646328942	27.80882072	1	1
0.646340504	27.92188454	1	1
0.646352095	27.67213249	1	1
0.646363656	27.6036129	1	1
0.646375241	27.45263863	1	1
0.646386811	27.41895485	1	1
0.646398375	27.30152512	1	1
0.646409958	27.07323647	1	1
0.646421537	27.21277618	1	1
0.646433115	26.92704582	1	1
0.646444672	26.96681213	1	1
0.646456246	26.76290321	1	1
0.646467825	26.59093094	1	1
0.646479393	26.7264595	1	1
0.646490976	26.58105469	1	1
0.64650255	26.62335396	1	1
0.646514132	26.45157814	1	1
0.646525706	26.42394447	1	1
0.646537283	26.35583496	1	1
0.646548855	26.22149086	1	1
0.646560419	25.97943115	1	1
0.646571986	25.98521614	1	1
0.64658357	25.53925705	1	1
0.646595149	25.80140686	1	1
0.646606708	25.9665432	1	1
0.64661829	26.13895416	1	1
0.64662987	26.1508255	1	1
0.646641435	26.1100235	1	1
0.646653018	26.01166153	1	1
0.646664585	25.89726257	1	1
0.646676164	25.92530251	1	1
0.646687744	25.81622124	1	1
0.646699301	25.89899635	1	1
0.64671088	25.77571106	1	1
0.646722443	25.70321655	1	1
0.646734038	25.5678215	1	1
0.646745604	25.67551613	1	1
0.646757186	25.4959774	1	1
0.646768747	25.56921959	1	1
0.646780333	25.42645073	1	1
0.646791895	25.48689461	1	1
0.64680348	25.58608818	1	1
0.646815045	25.2759285	1	1
0.646826619	25.27310753	1	1
0.646838199	25.05284309	1	1
0.646849756	24.87895775	1	1
0.646861333	24.89066124	1	1
0.646872918	24.90375519	1	1
0.646884488	24.74360657	1	1
0.646896054	25.18514633	1	1
0.646907634	25.21099663	1	1
0.64691921	24.95433426	1	1
0.646930785	25.02113533	1	1
0.646942365	24.93027306	1	1
0.646953932	24.93219757	1	1
0.646965511	24.96344566	1	1
0.646977085	24.78565979	1	1
0.646988647	24.37212372	1	1
0.647000237	24.34130669	1	1
0.647011812	24.28116989	1	1
0.647023385	24.26933098	1	1
0.647034947	24.25554276	1	1
0.647046521	24.40525627	1	1
0.647058101	24.11385345	1	1
0.647069664	23.97613335	1	1
0.647081251	23.78686333	1	1
0.647092827	23.98895264	1	1
0.6471044	23.92451286	1	1
0.647115959	23.76788521	1	1
0.647127544	23.62233543	1	1
0.647139108	23.56601715	1	1
0.647150684	23.84889221	1	1
0.647162272	23.7443676	1	1
0.647173849	23.46281052	1	1
0.647185408	23.57497787	1	1
0.647196994	23.53593063	1	1
0.647208551	23.4774437	1	1
0.647220135	23.61795998	1	1
0.647231716	23.32508469	1	1
0.64724328	23.31803703	1	1
0.647254861	23.33702087	1	1
0.647266422	23.1933651	1	1
0.647277998	23.23380661	1	1
0.647289569	23.08926773	1	1
0.647301157	23.11051178	1	1
0.647312713	23.17837906	1	1
0.647324296	23.18874931	1	1
0.64733588	23.18843269	1	1
0.647347446	23.1985321	1	1
0.647359021	23.16301537	1	1
0.647370598	22.98039246	1	1
0.647382166	22.98681068	1	1
0.647393752	23.05854607	1	1
0.647405309	23.08929253	1	1
0.647416901	23.07785034	1	1
0.647428466	22.69869614	1	1
0.647440045	22.61696625	1	1
0.647451621	22.87309456	1	1
0.647463179	22.76530266	1	1
0.647474757	22.33355331	1	1
0.647486336	22.01041412	1	1
0.647497903	21.93415833	1	1
0.647509491	21.98422623	1	1
0.647521064	22.11333847	1	1
0.647532639	22.20319557	1	1
0.647544211	22.27555275	1	1
0.647555783	21.85402298	1	1
0.647567353	21.79378128	1	1
0.647578919	22.24209404	1	1
0.647590491	22.17634583	1	1
0.647602078	22.3164978	1	1
0.647613638	22.19655991	1	1
0.647625223	22.21591759	1	1
0.647636795	22.01984596	1	1
0.647648373	22.11659813	1	1
0.647659946	22.13638878	1	1
0.647671515	22.05112076	1	1
0.647683095	21.83128929	1	1
0.647694671	21.65877342	1	1
0.647706241	21.43354225	1	1
0.647717805	21.21805382	1	1
0.647729393	21.30278015	1	1
