Day fraction since midnight on 	red dye (mg/L)	Supply air pressure (Pa)	Run Pump ()	Pump ()
0.595992788	1.829133153	0	1	1
0.59600435	1.829096079	0	1	1
0.596015937	1.829172492	0	1	1
0.596027521	1.829086304	0	1	1
0.596039095	1.829148412	0	1	1
0.596050666	1.829124808	0	1	1
0.596062254	1.829117417	0	1	1
0.596073806	1.829102993	0	1	1
0.596085386	1.829326749	0	1	1
0.596096963	1.82922256	0	1	1
0.596108528	1.829221606	0	1	1
0.596120108	1.829092383	0	1	1
0.596131689	1.829113245	0	1	1
pulse				
0.596143246	1.829291105	0	1	1
0.596154823	1.829174757	0	1	1
0.596166398	1.829128027	0	1	1
0.596177978	1.829224348	0	1	1
0.596189551	1.829144239	0	1	1
0.596201121	1.82907939	0	1	1
0.596212685	1.829067349	0	1	1
0.596224268	1.829247117	0	1	1
0.596235843	1.829175711	0	1	1
0.596247403	1.829196572	0	1	1
0.596258991	1.829097033	0	1	1
0.596270558	1.829036355	0	1	1
0.596282151	1.829232693	0	1	1
0.596293734	1.829051614	0	1	1
0.596305303	1.829045534	0	1	1
0.59631686	1.829182625	0	1	1
0.596328435	1.829132199	0	1	1
0.596340007	1.829267025	0	1	1
0.596351573	1.829707503	0	1	1
0.596363152	1.829193831	0	1	1
0.596374733	1.829131723	0	1	1
0.596386314	1.829096079	0	1	1
0.596397876	1.829053879	0	1	1
0.596409466	1.82909739	0	1	1
0.596421017	1.828943253	0	1	1
0.596432592	1.829178453	0	1	1
0.596444188	1.829056263	0	1	1
0.596455747	1.829056263	0	1	1
0.596467319	1.829226255	0	1	1
0.596478906	1.829159975	0	1	1
0.596490463	1.829277158	0	1	1
0.596502042	1.829111338	0	1	1
0.596513622	1.829059959	0	1	1
0.596525192	1.82902801	0	1	1
0.596536769	1.8290025	0	1	1
0.596548343	1.829024673	0	1	1
0.596559933	1.829077959	0	1	1
0.596571483	1.829076648	0	1	1
0.596583087	1.829185486	0	1	1
0.596594637	1.829105377	0	1	1
0.596606203	1.829112291	0	1	1
0.596617788	1.829228997	0	1	1
0.59662936	1.829188228	0	1	1
0.596640931	1.82919848	0	1	1
0.596652508	1.829118252	0	1	1
0.59666409	1.829154015	0	1	1
0.596675645	1.829128504	0	1	1
0.596687229	1.829125285	0	1	1
0.596698803	1.829008937	0	1	1
0.596710385	1.829115033	0	1	1
0.596721953	1.829223871	0	1	1
0.596733532	1.829072952	0	1	1
0.596745089	1.829249382	0	1	1
0.596756669	1.829172969	0	1	1
0.596768242	1.829108596	0	1	1
0.596779838	1.829132199	0	1	1
0.596791394	1.829178095	0	1	1
0.596802968	1.829093337	0	1	1
0.596814544	1.82909286	0	1	1
0.596826124	1.829241514	0	1	1
0.596837684	1.829580069	0	1	1
0.596849257	1.82911408	0	1	1
0.596860853	1.829067826	0	1	1
0.596872434	1.829106212	0	1	1
0.596883985	1.82918179	0	1	1
0.59689556	1.829036355	0	1	1
0.596907143	1.829152107	0	1	1
0.596918711	1.829083562	0	1	1
0.596930291	1.82911408	0	1	1
0.59694185	1.829087257	0	1	1
0.59695345	1.829291582	0	1	1
0.596964995	1.829124332	0	1	1
0.596976589	1.829226255	0	1	1
0.596988146	1.830407381	0	1	1
0.59699972	1.829180837	0	1	1
0.597011304	1.829119206	0	1	1
0.597022885	1.829076648	0	1	1
0.597034446	1.82904923	0	1	1
0.597046013	1.829172969	0	1	1
0.597057602	1.828945994	0	1	1
0.597069175	1.829113245	0	1	1
0.597080741	1.830964685	0	1	1
0.597092312	1.830057263	0	1	1
0.597103904	1.830368519	0	1	1
0.597115473	1.830104947	0	1	1
0.597127028	1.830180407	0	1	1
0.597138607	1.829976678	0	1	1
0.597150182	1.830212832	0	1	1
0.597161756	1.830306411	0	1	1
0.597173326	1.830193877	0	1	1
0.5971849	1.830177665	0	1	1
0.597196495	1.830129981	0	1	1
0.597208057	1.83056128	0	1	1
0.597219631	1.830015063	0	1	1
0.597231213	1.830129981	0	1	1
0.597242813	1.830034494	0	1	1
0.597254352	1.830128551	0	1	1
0.597265936	1.830299497	0	1	1
0.5972775	1.83016932	0	1	1
0.597289077	1.829977036	0	1	1
0.597300655	1.83128953	0	1	1
0.597312213	1.830171585	0	1	1
0.597323818	1.830475569	0	1	1
0.597335374	1.830291629	0	1	1
0.59734694	1.830192447	0	1	1
0.597358537	1.830249429	0	1	1
0.597370103	1.830456972	0	1	1
0.597381666	1.851456523	0	1	1
0.597393242	3.590088368	0	1	1
0.597404823	8.7979002	0	1	1
0.597416385	14.48718929	0	1	1
0.597427961	18.9040184	0	1	1
0.597439553	21.45233345	0	1	1
0.59745112	22.22472191	0	1	1
0.597462685	22.06136703	0	1	1
0.597474252	21.49536514	0	1	1
0.59748585	20.57458687	0	1	1
0.597497428	19.79627609	0	1	1
0.597508973	21.79737091	0	1	1
0.597520556	23.47896385	0	1	1
0.597532144	22.76940918	0	1	1
0.597543689	21.83273888	0	1	1
0.597555269	20.94574356	0	1	1
0.59756686	20.10466194	0	1	1
0.597578456	19.28155327	0	1	1
0.597589996	18.53203392	0	1	1
0.597601575	17.81090927	0	1	1
0.597613154	17.04523659	0	1	1
0.597624716	16.30370522	0	1	1
0.597636301	15.59099293	0	1	1
0.597647884	14.84530354	0	1	1
0.597659453	14.14642143	0	1	1
0.597671014	13.46831989	0	1	1
0.597682587	12.79723072	0	1	1
0.597694169	12.11182213	0	1	1
0.597705761	11.46574211	0	1	1
0.597717324	10.88372231	0	1	1
0.597728889	10.25753784	0	1	1
0.597740464	9.63105011	0	1	1
0.597752036	9.084584236	0	1	1
0.597763612	8.578204155	0	1	1
0.597775172	8.04544735	0	1	1
0.59778675	7.527574062	0	1	1
0.597798323	7.055397511	0	1	1
0.597809897	6.625157356	0	1	1
0.59782151	6.193371773	0	1	1
0.597833065	5.766606331	0	1	1
0.597844646	5.354841232	0	1	1
0.597856201	5.005600452	0	1	1
0.597867796	4.628587246	0	1	1
0.597879356	4.279262066	0	1	1
0.597890916	3.954519749	0	1	1
0.59790249	3.664706469	0	1	1
0.597914063	3.405666113	0	1	1
0.597925678	3.141577482	0	1	1
0.597937232	2.860738516	0	1	1
0.597948794	2.654081106	0	1	1
0.597960387	2.457620382	0	1	1
0.597971944	2.255049229	0	1	1
0.597983519	2.089637518	0	1	1
0.597995094	2.032776594	0	1	1
0.598006684	1.974117756	0	1	1
0.598018248	1.948383093	0	1	1
0.598029806	1.935387373	0	1	1
0.598041384	1.921780467	0	1	1
0.598052969	1.910655618	0	1	1
0.598064547	1.903182149	0	1	1
0.59807611	1.897934914	0	1	1
0.598087697	1.890232444	0	1	1
0.598099261	1.934997678	0	1	1
0.598110819	1.867549539	0	1	1
0.598122395	1.864648342	0	1	1
0.598133967	1.86404109	0	1	1
0.598145548	1.862726927	0	1	1
0.598157127	1.861225128	0	1	1
0.598168708	1.859491229	0	1	1
0.598180295	1.858344436	0	1	1
0.59819185	1.85646379	0	1	1
0.598203411	1.85498631	0	1	1
0.598215019	1.853965879	0	1	1
0.598226581	1.852950335	0	1	1
0.598238149	1.851631641	0	1	1
0.598249707	1.850386858	0	1	1
0.598261296	1.849231005	0	1	1
0.598272866	1.847645521	0	1	1
0.598284459	1.846961975	0	1	1
0.598296008	1.845422745	0	1	1
0.598307598	1.845279336	0	1	1
0.598319152	1.844610333	0	1	1
0.598330724	1.844403863	0	1	1
0.598342332	1.843742728	0	1	1
