Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.605067993	8.152178764	1	1
0.605079563	8.030993462	1	1
0.605091143	8.03737545	1	1
0.605102728	8.044241905	1	1
0.605114292	8.090791702	1	1
0.605125869	8.172693253	1	1
0.605137431	8.097010613	1	1
0.605149003	8.08426857	1	1
0.605160596	8.11548996	1	1
0.605172155	8.154468536	1	1
0.605183746	8.132236481	1	1
0.60519531	8.007232666	1	1
0.605206886	8.122173309	1	1
0.605218465	8.198791504	1	1
0.605230037	8.071656227	1	1
0.605241596	8.213965416	1	1
0.605253188	8.170837402	1	1
0.605264748	8.23211956	1	1
0.605276332	8.292728424	1	1
0.605287898	8.197961807	1	1
0.605299473	8.10061264	1	1
0.605311061	8.168971062	1	1
0.605322633	8.362537384	1	1
0.605334194	8.182415962	1	1
0.605345767	8.29257679	1	1
0.60535735	8.198162079	1	1
0.605368926	8.258155823	1	1
0.605380498	8.199120522	1	1
0.605392071	8.165595055	1	1
0.605403647	8.274954796	1	1
0.605415227	8.230342865	1	1
0.605426798	8.270590782	1	1
0.605438356	8.195058823	1	1
0.605449929	8.222760201	1	1
0.605461509	8.207753182	1	1
0.605473086	8.28920269	1	1
0.605484654	8.185443878	1	1
0.605496231	8.321803093	1	1
0.605507801	8.287129402	1	1
0.605519374	8.239554405	1	1
0.605530952	8.284509659	1	1
0.605542541	8.191951752	1	1
0.605554108	8.307390213	1	1
0.605565686	8.385848045	1	1
pulse 1			
0.605577257	8.297873497	1	1
0.605588819	8.33182621	1	1
0.605600393	8.322299004	1	1
0.605611975	8.475478172	1	1
0.605623551	8.314288139	1	1
0.605635128	8.359487534	1	1
0.605646689	8.25069809	1	1
0.605658275	8.212880135	1	1
0.605669857	8.225150108	1	1
0.605681413	8.215209007	1	1
0.605692989	8.248270035	1	1
0.605704569	8.133765221	1	1
0.605716145	8.375267029	1	1
0.605727722	8.203180313	1	1
0.60573929	8.262533188	1	1
0.605750872	8.219582558	1	1
0.605762444	8.256679535	1	1
0.605774019	8.355054855	1	1
0.605785585	8.319941521	1	1
0.605797166	8.266332626	1	1
0.605808739	8.282865524	1	1
0.605820313	8.3312397	1	1
0.605831893	8.281989098	1	1
0.605843449	8.208415031	1	1
0.605855043	8.38391304	1	1
0.605866602	8.367126465	1	1
0.605878185	8.315265656	1	1
0.605889752	8.412564278	1	1
0.605901339	8.26218605	1	1
0.605912902	8.419561386	1	1
0.605924469	8.311629295	1	1
0.605936045	8.304693222	1	1
0.605947617	8.405730248	1	1
0.605959197	8.296667099	1	1
0.605970776	8.422370911	1	1
0.605982346	8.386116028	1	1
0.605993925	8.287014961	1	1
0.60600549	8.354084015	1	1
0.606017066	8.329916954	1	1
0.606028633	8.412983894	1	1
0.606040222	8.492557526	1	1
0.606051782	8.696335793	1	1
0.606063374	8.626805306	1	1
0.606074944	8.790727615	1	1
0.606086524	8.879997253	1	1
0.606098086	8.787343979	1	1
0.606109651	8.850604057	1	1
0.606121226	8.837704659	1	1
0.606132804	8.738574028	1	1
0.606144374	8.863276482	1	1
0.606155959	9.073654175	1	1
0.606167525	9.126881599	1	1
0.60617911	9.664155006	1	1
0.606190677	11.0800705	1	1
0.606202252	11.86287975	1	1
0.606213829	12.1692543	1	1
0.606225393	13.06551933	1	1
0.606236971	14.150774	1	1
0.606248558	15.49256039	1	1
0.606260118	15.35698032	1	1
0.606271704	15.75300884	1	1
0.606283263	15.72191811	1	1
0.60629484	15.99857521	1	1
0.606306429	15.87985897	1	1
0.606317986	15.79767418	1	1
0.606329579	16.37175751	1	1
0.606341138	15.88231277	1	1
0.606352714	15.34579945	1	1
0.60636429	15.01656151	1	1
0.606375861	14.73858547	1	1
0.606387441	14.49489594	1	1
0.606399018	15.57318592	1	1
0.606410595	16.68784904	1	1
0.606422168	16.89019394	1	1
0.606433747	16.89658737	1	1
0.606445317	16.97359467	1	1
0.606456887	17.00592232	1	1
0.606468456	17.55048752	1	1
0.606480043	18.73197556	1	1
0.606491615	19.17366028	1	1
0.606503186	18.6669693	1	1
0.606514752	18.43057251	1	1
0.60652633	17.65727425	1	1
0.606537914	17.28739166	1	1
0.606549474	17.61741066	1	1
0.606561055	17.95008469	1	1
0.606572636	18.29545784	1	1
0.606584193	17.97533035	1	1
0.606595783	19.17470932	1	1
0.606607348	19.95903587	1	1
0.606618922	19.59928894	1	1
0.606630489	18.9055748	1	1
0.606642072	17.5594902	1	1
0.606653651	17.23010445	1	1
0.606665215	17.64667892	1	1
0.606676799	18.24258232	1	1
0.606688358	18.83716774	1	1
0.606699939	19.94729424	1	1
0.606711511	21.3377285	1	1
0.606723093	21.24604988	1	1
0.606734657	20.99738884	1	1
0.606746247	20.79471016	1	1
0.60675781	21.34075546	1	1
0.606769396	22.38933754	1	1
0.606780951	21.59515381	1	1
0.606792533	20.57572937	1	1
0.606804106	20.33583069	1	1
0.606815676	20.3321991	1	1
0.606827246	20.53412628	1	1
0.606838822	21.24921227	1	1
0.606850399	22.00432968	1	1
0.60686198	22.09771156	1	1
0.606873541	22.32575989	1	1
0.606885134	22.7058773	1	1
0.606896708	23.04415703	1	1
0.606908275	24.39558983	1	1
0.606919837	25.39006805	1	1
0.60693141	26.21608734	1	1
0.606942984	26.33063889	1	1
0.606954573	25.66567612	1	1
0.606966137	25.92980957	1	1
0.606977726	26.19122696	1	1
0.606989299	26.03149986	1	1
0.607000858	26.33441544	1	1
0.607012432	26.18709373	1	1
0.607024006	26.75408745	1	1
0.607035596	26.67211342	1	1
0.607047172	26.63677216	1	1
0.607058745	26.7413826	1	1
0.607070318	26.78677559	1	1
0.60708189	27.1336174	1	1
0.60709345	27.24962807	1	1
0.607105031	27.18518066	1	1
0.607116595	27.17497826	1	1
0.607128179	26.84224892	1	1
0.607139762	27.00942802	1	1
0.607151326	27.52393532	1	1
0.607162902	27.62147331	1	1
0.607174469	27.43633842	1	1
0.607186054	27.25221062	1	1
0.607197635	27.0607357	1	1
0.607209203	27.1931839	1	1
0.607220762	27.35516739	1	1
0.607232356	27.56852913	1	1
0.607243914	27.65200615	1	1
0.607255498	27.40026474	1	1
0.607267063	27.28074455	1	1
0.60727865	27.33444023	1	1
0.607290221	27.45327759	1	1
0.607301797	27.80747604	1	1
0.607313371	27.99399948	1	1
0.607324951	27.89554787	1	1
0.607336522	28.13330269	1	1
0.607348096	28.18351173	1	1
0.607359651	28.38225555	1	1
0.607371237	28.63370895	1	1
0.6073828	28.34546661	1	1
0.607394376	28.06724167	1	1
0.607405957	28.50629807	1	1
0.607417531	28.64424706	1	1
0.607429099	28.48513603	1	1
0.607440682	28.18719482	1	1
0.607452253	28.36985207	1	1
0.60746384	28.57903099	1	1
0.607475394	28.69818497	1	1
0.607486965	28.72379112	1	1
0.607498552	28.55727768	1	1
0.607510133	28.43697929	1	1
0.607521708	28.44375038	1	1
0.607533266	28.62909698	1	1
0.607544839	28.62770653	1	1
0.607556422	28.67136383	1	1
0.607567997	28.39598656	1	1
0.607579563	28.24413872	1	1
0.607591148	28.48908234	1	1
0.607602708	28.86773109	1	1
0.6076143	28.7000885	1	1
0.607625866	28.82558441	1	1
0.607637445	28.59573936	1	1
0.607649014	28.41158676	1	1
0.607660585	28.41659737	1	1
0.607672167	28.55993652	1	1
0.607683731	28.7124691	1	1
0.607695316	28.70226097	1	1
0.607706885	28.5181694	1	1
0.60771847	28.66463661	1	1
0.607730028	28.76081085	1	1
0.607741599	28.68407059	1	1
0.607753172	28.70561218	1	1
0.607764753	28.56139755	1	1
0.607776335	28.43481255	1	1
0.607787901	28.67157555	1	1
0.607799482	28.74331856	1	1
0.607811043	28.68970108	1	1
0.607822625	28.85803413	1	1
0.60783419	28.85402489	1	1
0.607845774	28.81770134	1	1
0.607857342	28.789114	1	1
0.607868927	28.81931877	1	1
0.607880503	28.81288719	1	1
0.607892064	28.76901436	1	1
0.607903635	28.85751534	1	1
0.607915208	29.05746078	1	1
0.60792679	29.31683922	1	1
0.60793837	29.17245674	1	1
0.607949933	29.25001907	1	1
0.607961524	29.15280914	1	1
0.607973082	29.03796005	1	1
0.607984652	29.15543175	1	1
0.607996247	29.02023315	1	1
0.608007801	28.94953728	1	1
0.608019389	29.11445999	1	1
0.608030958	29.05580139	1	1
0.608042534	29.01408577	1	1
0.608054116	28.85741043	1	1
0.608065674	29.13390541	1	1
0.60807726	28.9047699	1	1
0.608088828	28.52401733	1	1
0.608100407	28.55612755	1	1
0.608111979	28.45907402	1	1
0.608123554	28.47403145	1	1
0.608135132	28.64909744	1	1
0.608146695	28.8063755	1	1
0.608158263	28.93001556	1	1
0.608169843	28.90812874	1	1
0.608181413	28.83615112	1	1
0.608193001	28.76763916	1	1
0.608204576	28.73674393	1	1
0.608216153	29.01850319	1	1
0.608227714	28.87656784	1	1
0.60823928	28.55166435	1	1
0.608250865	28.48413849	1	1
0.608262442	28.45870209	1	1
0.608274011	28.54245758	1	1
0.608285583	28.46956253	1	1
0.608297165	28.68014717	1	1
0.608308728	28.49983597	1	1
0.608320311	28.20009232	1	1
0.608331875	28.30619812	1	1
0.608343466	28.35007668	1	1
0.608355033	28.57253456	1	1
0.608366614	28.7713623	1	1
0.608378171	28.8315239	1	1
0.608389762	28.84597588	1	1
0.60840132	28.67486382	1	1
0.608412897	28.475811	1	1
0.608424471	28.54763603	1	1
0.608436058	28.58436012	1	1
0.608447629	28.60668755	1	1
0.608459202	28.24969101	1	1
0.608470779	28.17425537	1	1
0.608482356	28.11590958	1	1
0.60849392	28.05402565	1	1
0.608505499	27.9830513	1	1
0.608517059	27.93453407	1	1
0.608528638	27.8214283	1	1
0.608540221	27.84843063	1	1
0.608551793	28.05653381	1	1
0.608563373	28.14255142	1	1
0.608574932	28.11762238	1	1
0.608586522	28.01442337	1	1
0.60859809	28.01612282	1	1
0.608609671	27.75741196	1	1
0.608621233	27.68289948	1	1
0.608632812	27.94402313	1	1
0.60864439	27.88494682	1	1
0.608655953	27.91725922	1	1
0.608667529	27.862463	1	1
0.608679115	27.72184372	1	1
0.608690685	27.48729706	1	1
0.608702263	27.70255852	1	1
0.608713837	27.6525898	1	1
0.608725403	27.59147453	1	1
0.608736971	27.38992119	1	1
0.608748557	27.25128365	1	1
0.608760136	26.99129677	1	1
0.60877171	26.94504547	1	1
0.608783281	26.56346893	1	1
0.608794848	26.2489605	1	1
0.608806416	26.1456604	1	1
0.608817984	25.99916267	1	1
0.608829572	25.8854599	1	1
0.608841147	26.14922333	1	1
0.608852727	26.33452606	1	1
0.608864292	26.48484421	1	1
0.608875867	26.49816132	1	1
0.60888743	26.56771851	1	1
0.608899011	26.55869293	1	1
0.608910586	26.21962547	1	1
0.608922171	25.98801804	1	1
0.608933738	25.88919449	1	1
0.608945315	26.0287571	1	1
0.608956875	25.80846214	1	1
0.608968453	25.98469353	1	1
0.608980028	26.11103821	1	1
0.608991597	26.03587341	1	1
0.609003173	26.10559654	1	1
0.609014752	25.90312195	1	1
0.609026324	25.52257538	1	1
0.609037901	25.71134758	1	1
